"Hwins","Awins","IsDraw","goals2H","Hgoals","Agoals","Hgoals1H","Agoals1H","HG_LY","HGA_LY","HM_LY","AG_LY","AGA_LY","AM_LY","HG_TY","HGA_TY","HM_TY","AG_TY","AGA_TY","AM_TY","Hrelegated","Hpromoted","Arelegated","Apromoted"
0,0,1,0,0,0,0,0,39,61,38,43,59,38,1,0,1,0,2,1,0,0,0,0
1,0,0,2,2,0,0,0,71,27,38,NA,NA,NA,3,1,1,2,2,1,0,0,0,1
0,1,0,2,1,3,0,2,33,48,38,40,51,38,1,2,1,0,1,1,0,0,0,0
0,0,1,2,2,2,2,0,61,39,38,68,41,38,2,2,1,2,1,1,0,0,0,0
0,0,1,0,0,0,0,0,54,46,38,43,59,38,1,2,1,2,2,1,0,0,0,0
1,0,0,0,1,0,1,0,54,54,38,NA,NA,NA,2,1,1,1,3,1,0,0,0,1
1,0,0,2,3,2,3,0,70,62,46,67,66,46,4,5,3,6,2,3,0,0,0,0
0,0,1,1,1,1,0,1,NA,NA,NA,58,74,46,3,3,3,3,4,3,0,1,0,0
1,0,0,1,2,1,1,1,55,40,46,59,60,46,2,2,3,3,7,3,0,0,0,0
1,0,0,5,5,1,1,0,84,52,46,NA,NA,NA,3,3,3,1,4,3,0,0,1,0
0,0,1,2,1,1,0,0,58,65,46,41,61,46,3,8,3,6,4,3,0,0,0,0
0,1,0,0,0,1,0,1,60,54,46,NA,NA,NA,4,4,3,6,2,3,0,0,1,0
0,1,0,3,2,3,0,2,62,50,46,63,65,46,4,2,3,2,1,3,0,0,0,0
0,1,0,1,0,1,0,0,46,74,46,NA,NA,NA,4,1,3,1,3,3,0,0,0,1
1,0,0,3,4,0,1,0,67,64,46,70,56,46,6,3,3,4,4,3,0,0,0,0
1,0,0,3,4,1,1,1,74,64,46,59,67,46,5,3,3,1,4,3,0,0,0,0
1,0,0,0,1,0,1,0,61,48,46,38,66,46,3,5,3,2,6,3,0,0,0,0
1,0,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,2,1,3,5,2,3,0,1,1,0
1,0,0,3,4,1,2,0,NA,NA,NA,60,79,46,4,4,3,6,6,3,1,0,0,0
0,1,0,1,0,1,0,0,57,54,46,72,58,46,6,3,3,5,4,3,0,0,0,0
0,1,0,1,0,1,0,0,53,61,46,NA,NA,NA,4,6,3,5,4,3,0,0,1,0
0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,5,1,3,4,3,3,0,1,0,1
0,0,1,0,0,0,0,0,85,45,46,49,49,46,4,3,3,2,3,3,0,0,0,0
0,0,1,0,0,0,0,0,63,65,46,74,77,46,7,5,3,5,5,3,0,0,0,0
0,1,0,1,0,2,0,1,59,73,46,64,77,46,5,3,3,3,3,3,0,0,0,0
1,0,0,0,1,0,1,0,72,46,46,50,59,46,6,2,3,4,6,3,0,0,0,0
0,0,1,1,1,1,0,1,NA,NA,NA,70,67,46,6,5,3,4,2,3,0,1,0,0
1,0,0,1,1,0,0,0,48,46,46,48,54,46,3,4,3,3,3,3,0,0,0,0
1,0,0,1,2,0,1,0,63,59,46,54,80,46,5,4,3,4,9,3,0,0,0,0
0,0,1,2,1,1,0,0,NA,NA,NA,NA,NA,NA,2,6,3,1,9,3,1,0,0,1
0,0,1,2,1,1,0,0,43,71,38,41,51,38,0,0,0,0,0,0,0,0,0,0
1,0,0,2,2,1,0,1,32,56,38,NA,NA,NA,0,0,0,0,0,0,0,0,0,1
1,0,0,0,1,0,1,0,39,46,38,66,39,38,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,1,1,0,69,52,38,51,53,38,0,0,0,0,0,0,0,0,0,0
1,0,0,1,2,0,1,0,51,50,42,NA,NA,NA,0,0,0,0,0,0,0,0,0,1
0,1,0,3,1,2,0,0,42,41,42,63,51,42,0,0,0,0,0,0,0,0,0,0
1,0,0,1,2,0,1,0,NA,NA,NA,60,47,42,0,0,0,0,0,0,1,0,0,0
0,0,1,0,0,0,0,0,53,53,42,49,53,42,0,0,0,0,0,0,0,0,0,0
1,0,0,2,2,1,1,0,NA,NA,NA,46,57,42,0,0,0,0,0,0,1,0,0,0
0,1,0,1,0,2,0,1,80,38,34,60,41,34,0,0,0,0,0,0,0,0,0,0
1,0,0,0,1,0,1,0,40,57,34,43,61,34,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,NA,NA,NA,51,75,34,0,0,0,0,0,0,0,1,0,0
